dt_year_month,ap_group_name,user_count,upload_bytes,download_bytes,session_time
201908,우령이 마을,13757,4930837709,64522287976,29850080
201908,우리은행 서귀포점 인근 공영주차장,14895,12920156513,1.462E+11,11903814
201908,워터월드,1819,9133320128,44434205883,4304498
201908,원노형,19822,5352599185,31052851801,31789174
201908,월드컵경기장 대도로변 입구 매표소,35283,29654900887,1.52764E+11,20933318
201908,이도주공아파트,31101,6728078309,49771059444,82849588
201908,일도이동공영주차장,14335,2727264738,77011237620,47726524
201908,자연사랑갤러리,181,3208345230,7084422925,346324
201908,정부제주지방합동청사,27787,7511585535,79383196025,78054796
201908,제주대학교,14783,12109433880,1.36747E+11,42689639
201908,제주대학교 입구,8522,1918556441,13658370762,27406405
201908,제주도립미술관,649,9082817820,50848266396,2364590
201908,제주도청,3198,1527069900,9715889257,11972302
201908,제주돌마을공원,153,502359179,2570885360,731986
201908,제주돌문화공원,518,3359029250,1415678903,2835046
201908,제주러브랜드,2092,15914759079,22719214638,7923458
201908,제주레일바이크,802,2137726063,7258430833,2771325
201908,제주목관아,7811,7651944986,21389432867,19471583
201908,제주미니미니랜드,4916,2249747612,27256497412,16690395
201908,제주민속오일장,28319,5968467737,62969250004,75554116
201908,제주민속촌,2965,12382432851,91944363637,3666472
201908,제주유리박물관,262,1957761766,8204020364,1009601
201908,제주특별자치도청,15300,6492462919,47359869581,52363983
201908,제주한라대학교(아쉬람BD_CU),19847,14465856488,1.18996E+11,70691393
201908,제주해녀박물관,1271,14245014538,43467177139,3780903
201908,제주허브동산,842,4930621860,10543941689,1346021
201908,조천읍4,10716,9333083036,88578815735,27574041
201908,중문랜드,1170,2477036636,13129062106,1852187
201908,천제연폭포,5791,33847525331,3.8424E+11,13312385
201908,천지동 아랑조을거리,9489,10036387450,1.5766E+11,11687321
201908,칠십리 음식 특화거리,14115,53875884385,3.93203E+11,25950755
201908,큰동네(버스),19699,4312006479,48570103772,77882243
201908,판포해변(포구),4287,5794738072,12007008637,18173079
201908,표선면1,3273,638830568,5997893585,1490886
201908,표선면5,7226,6782703288,76094434465,6594357
201908,표선생활체육관,1533,3781853303,69056689368,5012496
201908,한경면4,2406,171997820,595283256,4787447
201908,한라도서관,6163,2279380650,17841966723,21585232
201908,한림읍사무소,2237,1228595104,7328889323,7704638
201908,화북휴먼시아(화북4상가),2648,5760311902,38742755310,6975257
201908,환경성질환예방관리센터,386,1721501893,3677030874,1618597
201908,회수사거리,4167,1080386395,24499551313,4067538
201909,,1317139,2.8378E+12,1.19878E+13,6308811249
201909,16코스(고내포구-항파두리-광령1리),5480,10830694159,52918800634,25926911
201909,갓전시관,27,145647663,209995648,83951
201909,강창학B구장,151,46159709,663942958,802553
201909,고마로 거리,48536,17687303854,1.20478E+11,197522505
201909,구좌읍5,2504,892779920,5557391994,8391425
201909,구좌읍사무소,4716,682182914,9207284439,16432753
201909,김녕미로공원-1,521,1702145734,2970655644,1403900
201909,김정문화회관,860,2578994603,54092169755,2893143
201909,남서광마을,27425,6221645391,53102424086,85661090
201909,남원 동부보건소,4829,1768804729,17608737423,6300811
201909,남원읍3,5177,552785323,26752868884,2522090
201909,남원읍사무소,4521,798693675,17475388037,5055869
201909,노루생태공원,564,738712181,9476680150,1991733
201909,대림2차아파트,14957,5199164421,56224028954,58189935
201909,대유산업,349,826661990,31720429819,3651029
201909,도련1동(버스),2276,1083066414,16889040869,7417562
201909,동문로터리,31799,13254717105,89113675317,60021316
201909,동미빌딩,27512,3081746715,41639247120,12898437
201909,매일올레시장주차장,3511,832934028,1257031762,1234475
201909,문화예술의 거리,20574,8897220684,89983272440,68852071
201909,버스,1050649,6.22102E+13,3.88455E+12,3242321168
201909,블루마운틴커피테마파크,691,760435211,10905860223,1426219
201909,삼성혈-3,5630,729025349,4512241360,15228067
201907,16코스(고내포구-항파두리-광령1리),6573,9752813384,66948555113,32155140
201907,17코스(광령1리-외도-이호-용두암-산지천),6771,42546561371,3.69857E+11,34947072
201907,2코스,2813,3757698458,1.07897E+11,5018212
201907,5코스,3946,10023224821,76257986998,7766380
201907,KT성산포지점,9137,1276746684,10403243574,4359575
201907,광치기해변,16186,26389797167,73125450498,11780314
201907,국립제주박물관,3150,6965955997,51975338313,4965621
201907,국제평화센터,414,4924574852,56824702367,4305170
201907,그레이스호텔,1315,327688464,4423487506,3936063
201907,금능으뜸원 해변,4890,27772490597,72777845317,23599757
201907,기당미술관,1165,6392481040,37481921021,4229853
201907,김녕 성세기 해변,3289,23059337506,66559553471,13990951
201907,김녕미로공원-2,489,6430606508,3016038089,1364298
201907,김창열미술관,733,2030216628,3085978370,2562627
201907,꿈바당도서관-1,1583,1976069860,9741836301,5556123
201907,남서광마을,29763,6115150411,71962235270,98137167
201907,남원 동부보건소,4755,7974035851,83942526172,8581659
201907,남원읍4,5123,15716629565,56479255118,2286339
201907,도남공원,1928,5061631267,59607744743,8077343
201907,동문시장,38695,1.25913E+11,1.31673E+12,448065593
201907,메이즈랜드,552,3267133253,30218149508,3363323
201907,모구리야영장,1167,48664186127,7.92364E+11,24138745
201907,블루마운틴커피테마파크,646,2863037881,27564806771,1597011
201907,사라봉공원(충혼각),2147,984900135,7562034254,7870440
201907,삼성혈 문화의 거리,18835,11881157652,80861261119,84246069
201907,삼아아파트,11937,3283313017,56009442584,6010040
201907,삼양2동,17831,3840309057,56079629844,67155456
201907,삼양검은모래해변,6060,15913485548,39180038763,21316129
201907,삼양초등학교(남),18922,11260200470,1.07571E+11,58820460
201907,서귀포감귤박물관,825,33003118028,1.98743E+11,7720051
201907,서귀포시 동부보건소,1662,6030051885,1.92187E+11,5813860
201907,서귀포예술의전당,8453,2557668824,25378291187,3708880
201907,서귀포자연휴양림(녹나무동),402,2938383403,5614734489,1046671
201907,서귀포자연휴양림(동백동),629,1932478991,7633144393,678785
201907,서문가구거리,28749,10955344820,72488629068,88558106
201907,설문대여성문화센터,2878,3177923546,26774972487,11031458
201907,성산읍1,6440,7302123656,1.50795E+11,5544137
201907,성산읍2,4432,8862396568,2.19789E+11,10221737
201907,성산일출해양도립공원,10455,91224317713,5.21626E+11,28716068
201907,성산포항,6232,13939569092,1.51474E+11,9526507
201907,성산하수처리장,1850,3589688769,36263910168,2558358
201907,세계조가비박물관,13142,3451023879,15198975430,5971486
201907,세화오일장 인근 주차장,2851,3503990481,8949892824,9258172
201907,수목원테마파크,1039,586318072,3246467799,2937469
201907,신성여자중고등학교,12974,8461884535,70490038111,43164812
201907,아랑조을거리 공영주차장,13861,4206440871,30057514800,6856779
201907,아쿠아플라넷,3785,31597872508,1.86226E+11,8379342
201907,아프리카박물관,423,2516085581,47628992922,3949150
201907,안덕면1,7732,6671149105,79642138771,8225779
201907,안덕면6,3918,1502801466,22929261825,1197633
201907,양지공원,271,211616791,3274246975,1041518
201907,영천동주민센터,3845,5288582094,67372429727,5231168
201907,영화의거리->산지천,12303,26812577413,77435911168,31439649
